orf,Filter Name,omcl
,OMCL in Tryps,OG5_138638
,OMCL in Tryps,OG5_158391
,OMCL in Tryps,OG5_127626
,OMCL in Tryps,OG5_138083
,OMCL in Tryps,OG5_149836
,OMCL in Tryps,OG5_129052
,OMCL in Tryps,OG5_129094
,OMCL in Tryps,OG5_145195
,OMCL in Tryps,OG5_138633
,OMCL in Tryps,OG5_134529
,OMCL in Tryps,OG5_134799
,OMCL in Tryps,OG5_180333
,OMCL in Tryps,OG5_126798
,OMCL in Tryps,OG5_180472
,OMCL in Tryps,OG5_160795
,OMCL in Tryps,OG5_128249
,OMCL in Tryps,OG5_136510
,OMCL in Tryps,OG5_194837
,OMCL in Tryps,OG5_128384
,OMCL in Tryps,OG5_130094
,OMCL in Tryps,OG5_155976
,OMCL in Tryps,OG5_137724
,OMCL in Tryps,OG5_130003
,OMCL in Tryps,OG5_180530
,OMCL in Tryps,OG5_140385
,OMCL in Tryps,OG5_160780
,OMCL in Tryps,OG5_157027
,OMCL in Tryps,OG5_135234
,OMCL in Tryps,OG5_139276
,OMCL in Tryps,OG5_130401
,OMCL in Tryps,OG5_128612
,OMCL in Tryps,OG5_180522
,OMCL in Tryps,OG5_180357
,OMCL in Tryps,OG5_128902
,OMCL in Tryps,OG5_132933
,OMCL in Tryps,OG5_127937
,OMCL in Tryps,OG5_180506
,OMCL in Tryps,OG5_127043
,OMCL in Tryps,OG5_128916
,OMCL in Tryps,OG5_132160
,OMCL in Tryps,OG5_135773
,OMCL in Tryps,OG5_231703
,OMCL in Tryps,OG5_130106
,OMCL in Tryps,OG5_131649
,OMCL in Tryps,OG5_127392
,OMCL in Tryps,OG5_128246
,OMCL in Tryps,OG5_164003
,OMCL in Tryps,OG5_129507
,OMCL in Tryps,OG5_153760
,OMCL in Tryps,OG5_130967
,OMCL in Tryps,OG5_134267
,OMCL in Tryps,OG5_179899
,OMCL in Tryps,OG5_134272
,OMCL in Tryps,OG5_180334
,OMCL in Tryps,OG5_137454
,OMCL in Tryps,OG5_139419
,OMCL in Tryps,OG5_135112
,OMCL in Tryps,OG5_180521
,OMCL in Tryps,OG5_136372
,OMCL in Tryps,OG5_144512
,OMCL in Tryps,OG5_235267
,OMCL in Tryps,OG5_136985
,OMCL in Tryps,OG5_157038
,OMCL in Tryps,OG5_127403
,OMCL in Tryps,OG5_132717
,OMCL in Tryps,OG5_176586
,OMCL in Tryps,OG5_153762
,OMCL in Tryps,OG5_222361
,OMCL in Tryps,OG5_129713
,OMCL in Tryps,OG5_156171
,OMCL in Tryps,OG5_157041
,OMCL in Tryps,OG5_128606
,OMCL in Tryps,OG5_135020
,OMCL in Tryps,OG5_180586
,OMCL in Tryps,OG5_150700
,OMCL in Tryps,OG5_146870
,OMCL in Tryps,OG5_180343
,OMCL in Tryps,OG5_156971
,OMCL in Tryps,OG5_127395
,OMCL in Tryps,OG5_136321
,OMCL in Tryps,OG5_135776
,OMCL in Tryps,OG5_180573
,OMCL in Tryps,OG5_129571
,OMCL in Tryps,OG5_128333
,OMCL in Tryps,OG5_194823
,OMCL in Tryps,OG5_143297
,OMCL in Tryps,OG5_127774
,OMCL in Tryps,OG5_222436
,OMCL in Tryps,OG5_137992
,OMCL in Tryps,OG5_129613
,OMCL in Tryps,OG5_129327
,OMCL in Tryps,OG5_222410
,OMCL in Tryps,OG5_127715
,OMCL in Tryps,OG5_136448
,OMCL in Tryps,OG5_156007
,OMCL in Tryps,OG5_135400
,OMCL in Tryps,OG5_180367
,OMCL in Tryps,OG5_150689
,OMCL in Tryps,OG5_136511
,OMCL in Tryps,OG5_130881
,OMCL in Tryps,OG5_136115
,OMCL in Tryps,OG5_133247
,OMCL in Tryps,OG5_157048
,OMCL in Tryps,OG5_130455
,OMCL in Tryps,OG5_129549
,OMCL in Tryps,OG5_203836
,OMCL in Tryps,OG5_156999
,OMCL in Tryps,OG5_134996
,OMCL in Tryps,OG5_171948
,OMCL in Tryps,OG5_133044
,OMCL in Tryps,OG5_180450
,OMCL in Tryps,OG5_235234
,OMCL in Tryps,OG5_129864
,OMCL in Tryps,OG5_153725
,OMCL in Tryps,OG5_138610
,OMCL in Tryps,OG5_127696
,OMCL in Tryps,OG5_131683
